"spec","cond","pH","rep","day","count","dilution","cfus","measured.pH","class"
"BC9","alone",5,1,0,140,0,350,5.86,"bacteria"
"BC9","BC10",5,1,0,140,0,350,5.86,"bacteria"
"BC9","JB5",5,1,0,140,0,350,5.86,"bacteria"
"BC9","JB7",5,1,0,140,0,350,5.86,"bacteria"
"BC9","135E",5,1,0,140,0,350,5.86,"bacteria"
"BC9","JBC",5,1,0,140,0,350,5.86,"bacteria"
"BC9","JB370",5,1,0,140,0,350,5.86,"bacteria"
"BC9","community",5,1,0,140,0,350,5.86,"bacteria"
"BC10","alone",5,1,0,87,0,218,5.86,"bacteria"
"BC10","BC9",5,1,0,87,0,218,5.86,"bacteria"
"BC10","JB5",5,1,0,87,0,218,5.86,"bacteria"
"BC10","JB7",5,1,0,87,0,218,5.86,"bacteria"
"BC10","135E",5,1,0,87,0,218,5.86,"bacteria"
"BC10","JBC",5,1,0,87,0,218,5.86,"bacteria"
"BC10","JB370",5,1,0,87,0,218,5.86,"bacteria"
"BC10","community",5,1,0,87,0,218,5.86,"bacteria"
"JB5","alone",5,1,0,84,0,210,5.86,"bacteria"
"JB5","BC9",5,1,0,84,0,210,5.86,"bacteria"
"JB5","BC10",5,1,0,84,0,210,5.86,"bacteria"
"JB5","JB7",5,1,0,84,0,210,5.86,"bacteria"
"JB5","135E",5,1,0,84,0,210,5.86,"bacteria"
"JB5","JBC",5,1,0,84,0,210,5.86,"bacteria"
"JB5","JB370",5,1,0,84,0,210,5.86,"bacteria"
"JB5","community",5,1,0,84,0,210,5.86,"bacteria"
"JB7","alone",5,1,0,98,0,245,5.86,"bacteria"
"JB7","BC9",5,1,0,98,0,245,5.86,"bacteria"
"JB7","BC10",5,1,0,98,0,245,5.86,"bacteria"
"JB7","JB5",5,1,0,98,0,245,5.86,"bacteria"
"JB7","135E",5,1,0,98,0,245,5.86,"bacteria"
"JB7","JBC",5,1,0,98,0,245,5.86,"bacteria"
"JB7","JB370",5,1,0,98,0,245,5.86,"bacteria"
"JB7","community",5,1,0,98,0,245,5.86,"bacteria"
"135E","alone",5,1,0,270,0,675,5.86,"fungi"
"135E","BC9",5,1,0,270,0,675,5.86,"fungi"
"135E","BC10",5,1,0,270,0,675,5.86,"fungi"
"135E","JB5",5,1,0,270,0,675,5.86,"fungi"
"135E","JB7",5,1,0,270,0,675,5.86,"fungi"
"135E","JBC",5,1,0,270,0,675,5.86,"fungi"
"135E","JB370",5,1,0,270,0,675,5.86,"fungi"
"135E","community",5,1,0,270,0,675,5.86,"fungi"
"JBC","alone",5,1,0,26,0.05,1300,5.86,"fungi"
"JBC","BC9",5,1,0,26,0.05,1300,5.86,"fungi"
"JBC","BC10",5,1,0,26,0.05,1300,5.86,"fungi"
"JBC","JB5",5,1,0,26,0.05,1300,5.86,"fungi"
"JBC","JB7",5,1,0,26,0.05,1300,5.86,"fungi"
"JBC","135E",5,1,0,26,0.05,1300,5.86,"fungi"
"JBC","JB370",5,1,0,26,0.05,1300,5.86,"fungi"
"JBC","community",5,1,0,26,0.05,1300,5.86,"fungi"
"JB370","alone",5,1,0,30,0.05,1500,5.86,"fungi"
"JB370","BC9",5,1,0,30,0.05,1500,5.86,"fungi"
"JB370","BC10",5,1,0,30,0.05,1500,5.86,"fungi"
"JB370","JB5",5,1,0,30,0.05,1500,5.86,"fungi"
"JB370","JB7",5,1,0,30,0.05,1500,5.86,"fungi"
