species,condition,media,replicate,day,pH,count,dilution,total.CFUs,order of pH measure
BC9,comm,pH 7,1,0,6.63,58,0.5,1.16E+02,1
BC10,comm,pH 7,1,0,6.63,70,0.5,1.40E+02,1
JB5,comm,pH 7,1,0,6.63,144,0.5,2.88E+02,1
JB7,comm,pH 7,1,0,6.63,62,0.5,1.24E+02,1
135E,comm,pH 7,1,0,6.63,118,0.5,2.36E+02,1
JBC,comm,pH 7,1,0,6.63,43,0.5,8.60E+01,1
JB370,comm,pH 7,1,0,6.63,32,0.5,6.40E+01,1
BC9,comm,pH 7,2,0,6.56,58,0.5,1.16E+02,1
BC10,comm,pH 7,2,0,6.56,70,0.5,1.40E+02,1
JB5,comm,pH 7,2,0,6.56,144,0.5,2.88E+02,1
JB7,comm,pH 7,2,0,6.56,62,0.5,1.24E+02,1
135E,comm,pH 7,2,0,6.56,118,0.5,2.36E+02,1
JBC,comm,pH 7,2,0,6.56,43,0.5,8.60E+01,1
JB370,comm,pH 7,2,0,6.56,32,0.5,6.40E+01,1
BC9,comm,pH 7,3,0,6.45,58,0.5,1.16E+02,1
BC10,comm,pH 7,3,0,6.45,70,0.5,1.40E+02,1
JB5,comm,pH 7,3,0,6.45,144,0.5,2.88E+02,1
JB7,comm,pH 7,3,0,6.45,62,0.5,1.24E+02,1
135E,comm,pH 7,3,0,6.45,118,0.5,2.36E+02,1
JBC,comm,pH 7,3,0,6.45,43,0.5,8.60E+01,1
JB370,comm,pH 7,3,0,6.45,32,0.5,6.40E+01,1
BC9,comm-JBC,pH 7,1,0,6.64,39,0.5,7.80E+01,2
BC10,comm-JBC,pH 7,1,0,6.64,78,0.5,1.56E+02,2
JB5,comm-JBC,pH 7,1,0,6.64,77,0.5,1.54E+02,2
JB7,comm-JBC,pH 7,1,0,6.64,55,0.5,1.10E+02,2
135E,comm-JBC,pH 7,1,0,6.64,89,0.5,1.78E+02,2
JB370,comm-JBC,pH 7,1,0,6.64,51,0.5,1.02E+02,2
BC9,comm-JBC,pH 7,2,0,6.58,39,0.5,7.80E+01,3
BC10,comm-JBC,pH 7,2,0,6.58,78,0.5,1.56E+02,3
JB5,comm-JBC,pH 7,2,0,6.58,77,0.5,1.54E+02,3
JB7,comm-JBC,pH 7,2,0,6.58,55,0.5,1.10E+02,3
135E,comm-JBC,pH 7,2,0,6.58,89,0.5,1.78E+02,3
JB370,comm-JBC,pH 7,2,0,6.58,51,0.5,1.02E+02,3
BC9,comm-JBC,pH 7,3,0,7.12,39,0.5,7.80E+01,3
BC10,comm-JBC,pH 7,3,0,7.12,78,0.5,1.56E+02,3
JB5,comm-JBC,pH 7,3,0,7.12,77,0.5,1.54E+02,3
JB7,comm-JBC,pH 7,3,0,7.12,55,0.5,1.10E+02,3
135E,comm-JBC,pH 7,3,0,7.12,89,0.5,1.78E+02,3
JB370,comm-JBC,pH 7,3,0,7.12,51,0.5,1.02E+02,3
BC9,alone,pH 7,1,0,6.63,93,0.5,1.86E+02,7
BC9,alone,pH 7,2,0,6.6,93,0.5,1.86E+02,7
BC9,alone,pH 7,3,0,6.62,93,0.5,1.86E+02,7
BC10,alone,pH 7,1,0,6.57,105,0.5,2.10E+02,6
BC10,alone,pH 7,2,0,6.52,105,0.5,2.10E+02,6
BC10,alone,pH 7,3,0,6.55,105,0.5,2.10E+02,6
JB5,alone,pH 7,1,0,6.62,111,0.5,2.22E+02,5
JB5,alone,pH 7,2,0,6.57,111,0.5,2.22E+02,5
JB5,alone,pH 7,3,0,6.82,111,0.5,2.22E+02,5
JB7,alone,pH 7,1,0,6.62,56,0.5,1.12E+02,8
JB7,alone,pH 7,2,0,6.58,56,0.5,1.12E+02,8
JB7,alone,pH 7,3,0,6.57,56,0.5,1.12E+02,8
135E,alone,pH 7,1,0,6.6,71,0.5,1.42E+02,9
135E,alone,pH 7,2,0,6.56,71,0.5,1.42E+02,9
135E,alone,pH 7,3,0,6.56,71,0.5,1.42E+02,9
JBC,alone,pH 7,1,0,6.63,58,0.5,1.16E+02,4
JBC,alone,pH 7,2,0,6.53,58,0.5,1.16E+02,2
JBC,alone,pH 7,3,0,6.6,58,0.5,1.16E+02,2
JB370,alone,pH 7,1,0,6.62,49,0.5,9.80E+01,3
JB370,alone,pH 7,2,0,6.56,49,0.5,9.80E+01,4
JB370,alone,pH 7,3,0,6.91,49,0.5,9.80E+01,4
BC9,comm,pH 7,1,3,7.64,33,-5,3.30E+07,
BC10,comm,pH 7,1,3,7.64,169,-5,1.69E+08,
JB5,comm,pH 7,1,3,7.64,47,-5,4.70E+07,
JB7,comm,pH 7,1,3,7.64,74,-5,7.40E+07,
135E,comm,pH 7,1,3,7.64,55,-4,5.50E+06,
JBC,comm,pH 7,1,3,7.64,12,-1,1.20E+03,
JB370,comm,pH 7,1,3,7.64,103,0,1.03E+03,
BC9,comm,pH 7,2,3,7.71,30,-5,3.00E+07,
BC10,comm,pH 7,2,3,7.71,162,-5,1.62E+08,
JB5,comm,pH 7,2,3,7.71,57,-5,5.70E+07,
JB7,comm,pH 7,2,3,7.71,56,-5,5.60E+07,
135E,comm,pH 7,2,3,7.71,53,-4,5.30E+06,
JBC,comm,pH 7,2,3,7.71,32,-1,3.20E+03,
JB370,comm,pH 7,2,3,7.71,29,-1,2.90E+03,
BC9,comm,pH 7,3,3,7.73,31,-5,3.10E+07,
BC10,comm,pH 7,3,3,7.73,285,-5,2.85E+08,
JB5,comm,pH 7,3,3,7.73,63,-5,6.30E+07,
JB7,comm,pH 7,3,3,7.73,116,-5,1.16E+08,
135E,comm,pH 7,3,3,7.73,55,-4,5.50E+06,
JBC,comm,pH 7,3,3,7.73,9,-1,9.00E+02,
JB370,comm,pH 7,3,3,7.73,26,-1,2.60E+03,
BC9,comm-JBC,pH 7,1,3,7.87,22,-5,2.20E+07,
BC10,comm-JBC,pH 7,1,3,7.87,167,-5,1.67E+08,
JB5,comm-JBC,pH 7,1,3,7.87,34,-5,3.40E+07,
JB7,comm-JBC,pH 7,1,3,7.87,55,-5,5.50E+07,
135E,comm-JBC,pH 7,1,3,7.87,69,-4,6.90E+06,
JB370,comm-JBC,pH 7,1,3,7.87,17,-1,1.70E+03,
