"BC9","BC10","JB5","JB7","135E","JBC","JB370","cond","rep","pres.BC9","pres.BC10","pres.JB5","pres.JB7","pres.X135E","pres.JBC","pres.JB370","day","pH"
1.9e+08,0,0,0,0,0,0,"alone",1,1,0,0,0,0,0,0,21,7
2.6e+08,0,0,0,0,0,0,"alone",2,1,0,0,0,0,0,0,21,7
3.2e+08,0,0,0,0,0,0,"alone",3,1,0,0,0,0,0,0,21,7
1.2e+08,0,0,0,0,0,0,"alone",4,1,0,0,0,0,0,0,21,7
2.8e+08,0,0,0,0,0,0,"alone",5,1,0,0,0,0,0,0,21,7
0,1.6e+08,0,0,0,0,0,"alone",1,0,1,0,0,0,0,0,21,7
0,4.04e+08,0,0,0,0,0,"alone",2,0,1,0,0,0,0,0,21,7
0,1.24e+08,0,0,0,0,0,"alone",3,0,1,0,0,0,0,0,21,7
0,2.01e+08,0,0,0,0,0,"alone",4,0,1,0,0,0,0,0,21,7
0,3.57e+08,0,0,0,0,0,"alone",5,0,1,0,0,0,0,0,21,7
0,0,4.3e+09,0,0,0,0,"alone",1,0,0,1,0,0,0,0,21,7
0,0,4e+09,0,0,0,0,"alone",2,0,0,1,0,0,0,0,21,7
0,0,3.3e+09,0,0,0,0,"alone",3,0,0,1,0,0,0,0,21,7
0,0,5.1e+09,0,0,0,0,"alone",4,0,0,1,0,0,0,0,21,7
0,0,2.8e+09,0,0,0,0,"alone",5,0,0,1,0,0,0,0,21,7
0,0,0,1.43e+09,0,0,0,"alone",1,0,0,0,1,0,0,0,21,7
0,0,0,1.78e+09,0,0,0,"alone",2,0,0,0,1,0,0,0,21,7
0,0,0,1.78e+09,0,0,0,"alone",3,0,0,0,1,0,0,0,21,7
0,0,0,1.71e+09,0,0,0,"alone",4,0,0,0,1,0,0,0,21,7
0,0,0,2.02e+09,0,0,0,"alone",5,0,0,0,1,0,0,0,21,7
0,0,0,0,5300000,0,0,"alone",1,0,0,0,0,1,0,0,21,7
0,0,0,0,3400000,0,0,"alone",2,0,0,0,0,1,0,0,21,7
0,0,0,0,6600000,0,0,"alone",3,0,0,0,0,1,0,0,21,7
0,0,0,0,2.4e+07,0,0,"alone",4,0,0,0,0,1,0,0,21,7
0,0,0,0,5300000,0,0,"alone",5,0,0,0,0,1,0,0,21,7
0,0,0,0,0,4.8e+07,0,"alone",1,0,0,0,0,0,1,0,21,7
0,0,0,0,0,4.8e+07,0,"alone",2,0,0,0,0,0,1,0,21,7
0,0,0,0,0,1.12e+08,0,"alone",3,0,0,0,0,0,1,0,21,7
0,0,0,0,0,6.7e+07,0,"alone",4,0,0,0,0,0,1,0,21,7
0,0,0,0,0,7.1e+07,0,"alone",5,0,0,0,0,0,1,0,21,7
0,0,0,0,0,0,2500000,"alone",1,0,0,0,0,0,0,1,21,7
0,0,0,0,0,0,9e+05,"alone",2,0,0,0,0,0,0,1,21,7
