spec,name,est,se,,Carry capacity (K) only,,,BC9,,,
BC9,K,48564126.65,34111561.09,,Spec,K estimate,,K estimate: ,48564126.65,,
BC9,BC10,-0.228060972,0.45355771,,,,,K SE:,34111561.09,,
BC9,JB5,-19682.30448,50595.37274,,,,,interaction with,Estimate,SE,Scaled Estimate
BC9,JB7,-288926.8561,772340.2572,,,,,BC10,-0.228060972,0.45355771,
BC9,X135E,4.21161181,1.403704751,,,,,JB5,-19682.30448,50595.37274,
BC9,JBC,-0.507063173,0.867551201,,,,,JB7,-288926.8561,772340.2572,
BC9,JB370,24.70017602,4.152502835,,,,,X135E,4.21161181,1.403704751,
BC10,K,85914196.67,17395693.57,,BC9,48564126.65,,JBC,-0.507063173,0.867551201,
BC10,BC9,0.608739812,0.909408903,,BC10,85914196.67,,JB370,24.70017602,4.152502835,
BC10,JB5,-0.004003938,0.011224877,,JB5,357069136.6,,,,,
BC10,JB7,0.002403134,0.02108925,,JB7,-20627979.69,,,,,
BC10,X135E,0.450172264,0.805289187,,X135E,17980628.63,,,,,
BC10,JBC,-1.119814876,0.535749137,,JBC,69563355.86,,,,,
BC10,JB370,20.9814374,4.289775304,,JB370,6450739.625,,,,,
JB5,K,357069136.6,295783143.9,,BC10,85914196.67,,,,,
JB5,BC9,-10.4993213,16.7461518,,,,,,,,
JB5,BC10,17.74268073,5.769558761,,,,,,,,
JB5,JB7,-289212.3301,597239.1309,,,,,,,,
JB5,X135E,92.81583256,32.83255326,,,,,,,,
JB5,JBC,-5.390746774,8.184804519,,,,,,,,
JB5,JB370,-29.04652651,57.23157389,,,,,,,,
JB7,K,-20627979.69,97255200.48,,JB5,357069136.6,,,,,
JB7,BC9,0.726661498,7.719828697,,,,,,,,
JB7,BC10,16.1085051,2.084958194,,,,,,,,
JB7,JB5,28.49499548,330.4912577,,,,,,,,
JB7,X135E,148.1194619,9.665123501,,,,,,,,
JB7,JBC,0.14354136,1.037298681,,,,,,,,
JB7,JB370,33.31548978,22.01007397,,,,,,,,
X135E,K,17980628.63,2525974.912,,JB7,-20627979.69,,,,,
X135E,BC9,0.081867435,0.019838023,,,,,,,,
X135E,BC10,0.145501492,0.039565107,,,,,,,,
X135E,JB5,-0.001206977,0.00218647,,,,,,,,
X135E,JB7,8.47E-05,0.001715377,,,,,,,,
X135E,JBC,-0.103695965,0.038681422,,,,,,,,
X135E,JB370,-1.185992747,1.192458965,,,,,,,,
JBC,K,69563355.86,8528381.729,,X135E,17980628.63,,,,,
JBC,BC9,0.004691413,0.82759448,,,,,,,,
JBC,BC10,-0.560530521,0.852946143,,,,,,,,
JBC,JB5,-2002.621767,30360.04064,,,,,,,,
JBC,JB7,15.57219625,2.431614951,,,,,,,,
JBC,X135E,-53266.11914,36675.73088,,,,,,,,
JBC,JB370,-30.59350579,38.86349987,,,,,,,,
JB370,K,6450739.625,1092009.605,,JBC,69563355.86,,,,,
JB370,BC9,0.014453052,0.004753522,,,,,,,,
JB370,BC10,0.001832871,0.009056589,,,,,,,,
JB370,JB5,0.009279109,0.015328458,,,,,,,,
JB370,JB7,0.006085754,0.006268838,,,,,,,,
JB370,X135E,-0.19728839,0.159828936,,,,,,,,
JB370,JBC,-0.127721489,0.049995735,,,,,,,,
,,,,,JB370,6450739.625,,,,,
