species,condition,pH,replicate,day,count,dilution,total.CFUs,measured.pH,class,log.CFUs
BC9,alone,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC9,BC10,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC9,JB5,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC9,JB7,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC9,135E,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC9,JBC,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC9,JB370,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC9,community,5,1,0,140,0,350,5.86,bacteria,2.5440680443502757
BC10,alone,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
BC10,BC9,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
BC10,JB5,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
BC10,JB7,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
BC10,135E,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
BC10,JBC,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
BC10,JB370,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
BC10,community,5,1,0,87,0,218,5.86,bacteria,2.3384564936046046
JB5,alone,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB5,BC9,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB5,BC10,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB5,JB7,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB5,135E,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB5,JBC,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB5,JB370,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB5,community,5,1,0,84,0,210,5.86,bacteria,2.322219294733919
JB7,alone,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
JB7,BC9,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
JB7,BC10,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
JB7,JB5,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
JB7,135E,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
JB7,JBC,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
JB7,JB370,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
JB7,community,5,1,0,98,0,245,5.86,bacteria,2.3891660843645326
135E,alone,5,1,0,270,0,675,5.86,fungi,2.829303772831025
135E,BC9,5,1,0,270,0,675,5.86,fungi,2.829303772831025
135E,BC10,5,1,0,270,0,675,5.86,fungi,2.829303772831025
135E,JB5,5,1,0,270,0,675,5.86,fungi,2.829303772831025
135E,JB7,5,1,0,270,0,675,5.86,fungi,2.829303772831025
135E,JBC,5,1,0,270,0,675,5.86,fungi,2.829303772831025
135E,JB370,5,1,0,270,0,675,5.86,fungi,2.829303772831025
135E,community,5,1,0,270,0,675,5.86,fungi,2.829303772831025
JBC,alone,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
JBC,BC9,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
JBC,BC10,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
JBC,JB5,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
JBC,JB7,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
JBC,135E,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
JBC,JB370,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
JBC,community,5,1,0,26,0.05,1300,5.86,fungi,3.113943352306837
