species,condition,media,replicate,day,pH,count,dilution,total.CFUs,delta.pH.fromDay0
BC9,comm,pH 5,1,0,5.2,50,0.5,100,0
BC10,comm,pH 5,1,0,5.2,123,0.5,246,0
JB5,comm,pH 5,1,0,5.2,168,0.5,336,0
JB7,comm,pH 5,1,0,5.2,67,0.5,134,0
135E,comm,pH 5,1,0,5.2,56,0.5,112,0
JBC,comm,pH 5,1,0,5.2,41,0.25,164,0
JB370,comm,pH 5,1,0,5.2,23,0.25,92,0
BC9,comm,pH 5,2,0,5.13,50,0.5,100,0
BC10,comm,pH 5,2,0,5.13,123,0.5,246,0
JB5,comm,pH 5,2,0,5.13,168,0.5,336,0
JB7,comm,pH 5,2,0,5.13,67,0.5,134,0
135E,comm,pH 5,2,0,5.13,56,0.5,112,0
JBC,comm,pH 5,2,0,5.13,41,0.25,164,0
JB370,comm,pH 5,2,0,5.13,23,0.25,92,0
BC9,comm,pH 5,3,0,NA,50,0.5,100,0
BC10,comm,pH 5,3,0,NA,123,0.5,246,0
JB5,comm,pH 5,3,0,NA,168,0.5,336,0
JB7,comm,pH 5,3,0,NA,67,0.5,134,0
135E,comm,pH 5,3,0,NA,56,0.5,112,0
JBC,comm,pH 5,3,0,NA,41,0.25,164,0
JB370,comm,pH 5,3,0,NA,23,0.25,92,0
BC9,comm-JBC,pH 5,1,0,5.15,51,0.5,102,0
BC10,comm-JBC,pH 5,1,0,5.15,94,0.5,188,0
JB5,comm-JBC,pH 5,1,0,5.15,108,0.5,216,0
JB7,comm-JBC,pH 5,1,0,5.15,70,0.5,140,0
135E,comm-JBC,pH 5,1,0,5.15,68,0.5,136,0
JB370,comm-JBC,pH 5,1,0,5.15,66,0.5,132,0
BC9,comm-JBC,pH 5,2,0,5.13,51,0.5,102,0
BC10,comm-JBC,pH 5,2,0,5.13,94,0.5,188,0
JB5,comm-JBC,pH 5,2,0,5.13,108,0.5,216,0
JB7,comm-JBC,pH 5,2,0,5.13,70,0.5,140,0
135E,comm-JBC,pH 5,2,0,5.13,68,0.5,136,0
JB370,comm-JBC,pH 5,2,0,5.13,66,0.5,132,0
BC9,comm-JBC,pH 5,3,0,NA,51,0.5,102,0
BC10,comm-JBC,pH 5,3,0,NA,94,0.5,188,0
JB5,comm-JBC,pH 5,3,0,NA,108,0.5,216,0
JB7,comm-JBC,pH 5,3,0,NA,70,0.5,140,0
135E,comm-JBC,pH 5,3,0,NA,68,0.5,136,0
JB370,comm-JBC,pH 5,3,0,NA,66,0.5,132,0
BC9,comm-135E,pH 5,1,0,5.16,62,0.5,124,0
BC10,comm-135E,pH 5,1,0,5.16,120,0.5,240,0
JB5,comm-135E,pH 5,1,0,5.16,155,0.5,310,0
JB7,comm-135E,pH 5,1,0,5.16,64,0.5,128,0
JBC,comm-135E,pH 5,1,0,5.16,189,0.5,378,0
JB370,comm-135E,pH 5,1,0,5.16,60,0.5,120,0
BC9,comm-135E,pH 5,2,0,5.1,62,0.5,124,0
BC10,comm-135E,pH 5,2,0,5.1,120,0.5,240,0
JB5,comm-135E,pH 5,2,0,5.1,155,0.5,310,0
JB7,comm-135E,pH 5,2,0,5.1,64,0.5,128,0
JBC,comm-135E,pH 5,2,0,5.1,189,0.5,378,0
JB370,comm-135E,pH 5,2,0,5.1,60,0.5,120,0
BC9,comm-135E,pH 5,3,0,NA,62,0.5,124,0
BC10,comm-135E,pH 5,3,0,NA,120,0.5,240,0
JB5,comm-135E,pH 5,3,0,NA,155,0.5,310,0
JB7,comm-135E,pH 5,3,0,NA,64,0.5,128,0
JBC,comm-135E,pH 5,3,0,NA,189,0.5,378,0
JB370,comm-135E,pH 5,3,0,NA,60,0.5,120,0
BC9,comm-BC10,pH 5,1,0,5.15,99,0.5,198,0
JB5,comm-BC10,pH 5,1,0,5.15,165,0.5,330,0
JB7,comm-BC10,pH 5,1,0,5.15,65,0.5,130,0
135E,comm-BC10,pH 5,1,0,5.15,74,0.5,148,0
JBC,comm-BC10,pH 5,1,0,5.15,59,0.25,236,0
JB370,comm-BC10,pH 5,1,0,5.15,19,0.25,76,0
BC9,comm-BC10,pH 5,2,0,5.03,99,0.5,198,0
JB5,comm-BC10,pH 5,2,0,5.03,165,0.5,330,0
JB7,comm-BC10,pH 5,2,0,5.03,65,0.5,130,0
