species,condition,media,replicate,day,pH,count,dilution,total.CFUs,order of pH measure
BC9,comm,pH 7,1,0,6.63,58,0.5,116,1
BC10,comm,pH 7,1,0,6.63,70,0.5,140,1
JB5,comm,pH 7,1,0,6.63,144,0.5,288,1
JB7,comm,pH 7,1,0,6.63,62,0.5,124,1
135E,comm,pH 7,1,0,6.63,118,0.5,236,1
JBC,comm,pH 7,1,0,6.63,43,0.5,86,1
JB370,comm,pH 7,1,0,6.63,32,0.5,64,1
BC9,comm,pH 7,2,0,6.56,58,0.5,116,1
BC10,comm,pH 7,2,0,6.56,70,0.5,140,1
JB5,comm,pH 7,2,0,6.56,144,0.5,288,1
JB7,comm,pH 7,2,0,6.56,62,0.5,124,1
135E,comm,pH 7,2,0,6.56,118,0.5,236,1
JBC,comm,pH 7,2,0,6.56,43,0.5,86,1
JB370,comm,pH 7,2,0,6.56,32,0.5,64,1
BC9,comm,pH 7,3,0,6.45,58,0.5,116,1
BC10,comm,pH 7,3,0,6.45,70,0.5,140,1
JB5,comm,pH 7,3,0,6.45,144,0.5,288,1
JB7,comm,pH 7,3,0,6.45,62,0.5,124,1
135E,comm,pH 7,3,0,6.45,118,0.5,236,1
JBC,comm,pH 7,3,0,6.45,43,0.5,86,1
JB370,comm,pH 7,3,0,6.45,32,0.5,64,1
BC9,comm-JBC,pH 7,1,0,6.64,39,0.5,78,2
BC10,comm-JBC,pH 7,1,0,6.64,78,0.5,156,2
JB5,comm-JBC,pH 7,1,0,6.64,77,0.5,154,2
JB7,comm-JBC,pH 7,1,0,6.64,55,0.5,110,2
135E,comm-JBC,pH 7,1,0,6.64,89,0.5,178,2
JB370,comm-JBC,pH 7,1,0,6.64,51,0.5,102,2
BC9,comm-JBC,pH 7,2,0,6.58,39,0.5,78,3
BC10,comm-JBC,pH 7,2,0,6.58,78,0.5,156,3
JB5,comm-JBC,pH 7,2,0,6.58,77,0.5,154,3
JB7,comm-JBC,pH 7,2,0,6.58,55,0.5,110,3
135E,comm-JBC,pH 7,2,0,6.58,89,0.5,178,3
JB370,comm-JBC,pH 7,2,0,6.58,51,0.5,102,3
BC9,comm-JBC,pH 7,3,0,7.12,39,0.5,78,3
BC10,comm-JBC,pH 7,3,0,7.12,78,0.5,156,3
JB5,comm-JBC,pH 7,3,0,7.12,77,0.5,154,3
JB7,comm-JBC,pH 7,3,0,7.12,55,0.5,110,3
135E,comm-JBC,pH 7,3,0,7.12,89,0.5,178,3
JB370,comm-JBC,pH 7,3,0,7.12,51,0.5,102,3
BC9,alone,pH 7,1,0,6.63,93,0.5,186,7
BC9,alone,pH 7,2,0,6.6,93,0.5,186,7
BC9,alone,pH 7,3,0,6.62,93,0.5,186,7
BC10,alone,pH 7,1,0,6.57,105,0.5,210,6
BC10,alone,pH 7,2,0,6.52,105,0.5,210,6
BC10,alone,pH 7,3,0,6.55,105,0.5,210,6
JB5,alone,pH 7,1,0,6.62,111,0.5,222,5
JB5,alone,pH 7,2,0,6.57,111,0.5,222,5
JB5,alone,pH 7,3,0,6.82,111,0.5,222,5
JB7,alone,pH 7,1,0,6.62,56,0.5,112,8
JB7,alone,pH 7,2,0,6.58,56,0.5,112,8
JB7,alone,pH 7,3,0,6.57,56,0.5,112,8
135E,alone,pH 7,1,0,6.6,71,0.5,142,9
135E,alone,pH 7,2,0,6.56,71,0.5,142,9
135E,alone,pH 7,3,0,6.56,71,0.5,142,9
JBC,alone,pH 7,1,0,6.63,58,0.5,116,4
JBC,alone,pH 7,2,0,6.53,58,0.5,116,2
JBC,alone,pH 7,3,0,6.6,58,0.5,116,2
JB370,alone,pH 7,1,0,6.62,49,0.5,98,3
JB370,alone,pH 7,2,0,6.56,49,0.5,98,4
JB370,alone,pH 7,3,0,6.91,49,0.5,98,4
BC9,comm,pH 7,1,3,7.64,33,-5,33000000,NA
BC10,comm,pH 7,1,3,7.64,169,-5,169000000,NA
JB5,comm,pH 7,1,3,7.64,47,-5,47000000,NA
JB7,comm,pH 7,1,3,7.64,74,-5,74000000,NA
135E,comm,pH 7,1,3,7.64,55,-4,5500000,NA
JBC,comm,pH 7,1,3,7.64,12,-1,1200,NA
JB370,comm,pH 7,1,3,7.64,103,0,1030,NA
BC9,comm,pH 7,2,3,7.71,30,-5,30000000,NA
BC10,comm,pH 7,2,3,7.71,162,-5,162000000,NA
JB5,comm,pH 7,2,3,7.71,57,-5,57000000,NA
JB7,comm,pH 7,2,3,7.71,56,-5,56000000,NA
135E,comm,pH 7,2,3,7.71,53,-4,5300000,NA
JBC,comm,pH 7,2,3,7.71,32,-1,3200,NA
JB370,comm,pH 7,2,3,7.71,29,-1,2900,NA
BC9,comm,pH 7,3,3,7.73,31,-5,31000000,NA
BC10,comm,pH 7,3,3,7.73,285,-5,285000000,NA
JB5,comm,pH 7,3,3,7.73,63,-5,63000000,NA
JB7,comm,pH 7,3,3,7.73,116,-5,116000000,NA
135E,comm,pH 7,3,3,7.73,55,-4,5500000,NA
JBC,comm,pH 7,3,3,7.73,9,-1,900,NA
JB370,comm,pH 7,3,3,7.73,26,-1,2600,NA
BC9,comm-JBC,pH 7,1,3,7.87,22,-5,22000000,NA
BC10,comm-JBC,pH 7,1,3,7.87,167,-5,167000000,NA
JB5,comm-JBC,pH 7,1,3,7.87,34,-5,34000000,NA
JB7,comm-JBC,pH 7,1,3,7.87,55,-5,55000000,NA
135E,comm-JBC,pH 7,1,3,7.87,69,-4,6900000,NA
JB370,comm-JBC,pH 7,1,3,7.87,17,-1,1700,NA
BC9,comm-JBC,pH 7,2,3,7.86,20,-5,20000000,NA
BC10,comm-JBC,pH 7,2,3,7.86,165,-5,165000000,NA
JB5,comm-JBC,pH 7,2,3,7.86,38,-5,38000000,NA
JB7,comm-JBC,pH 7,2,3,7.86,68,-5,68000000,NA
135E,comm-JBC,pH 7,2,3,7.86,85,-4,8500000,NA
JB370,comm-JBC,pH 7,2,3,7.86,25,-1,2500,NA
BC9,comm-JBC,pH 7,3,3,7.83,29,-5,29000000,NA
