target,source,label,order,intx.day,scaled.fc,log.fc-2X
pos135Eph5,posBC10ph5,S. xylosus,3,pos10,1.9090909090909092,1.3397743454849977
pos135Eph5,posBC10ph5,S. xylosus,3,pos21,1.851686507936508,1.30924403028327
pos135Eph5,posBC9ph5,S. equorum,4,pos21,1.7083333333333333,1.2286654169163074
neg135Eph5,negJB5ph5,Brevibacterium,1,neg21,1.4088050314465408,1.0358890301947536
pos135Eph7,posJB5ph7,Brevibacterium,1,pos10,1.9777777777777779,1.3751210605217654
pos135Eph7,posJB7ph7,Brachybacterium,2,pos10,1.8867924528301887,1.3280254529959148
neg135Eph5,negJBCph5,Penicillium,5,neg10,27.441860465116278,4.005216782326094
neg135Eph5,negJBCph5,Penicillium,5,neg21,111999.99999999999,12.319401330837177
neg135Eph7,negJBCph7,Penicillium,5,neg10,0,3
neg135Eph7,negJBCph7,Penicillium,5,neg21,0,3
neg135Eph5,negJB370ph5,Scopulariopsis,6,neg21,2.541284403669725,1.62581680451814
neg135Eph7,negJB370ph7,Scopulariopsis,6,neg10,2.5238095238095237,1.6189166563886441
negBC10ph5,neg135Eph5,Diutina,7,neg3,3.6206896551724137,1.9798117007309946
negBC10ph5,negJBCph5,Penicillium,5,neg10,3.0666666666666664,1.8137383759468302
negBC10ph5,negJBCph5,Penicillium,5,neg21,3.125,1.8325814637483102
negBC10ph7,negJBCph7,Penicillium,5,neg21,1.4035087719298245,1.0321225473992768
posBC10ph5,posJB370ph5,Scopulariopsis,6,pos10,3.2318840579710146,1.8662124474228048
posBC10ph5,posJB370ph5,Scopulariopsis,6,pos21,2.1777777777777776,1.4714521694601974
posBC9ph5,pos135Eph5,Diutina,7,pos3,15.584415584415584,3.439418594482353
posBC9ph5,pos135Eph5,Diutina,7,pos10,4.200928750509454,2.128452812477075
posBC9ph5,pos135Eph5,Diutina,7,pos21,19.34131736526946,3.6553907843598923
negBC9ph7,neg135Eph7,Diutina,7,neg10,1.309278350515464,0.9626232885151538
negBC9ph5,negBC10ph5,S. xylosus,3,neg10,6.070407702723033,2.4965729502164584
negBC9ph7,negBC10ph7,S. xylosus,3,neg10,8.96551724137931,2.886532981588999
negBC9ph7,negBC10ph7,S. xylosus,3,neg21,6.511627906976744,2.5667366680356327
posBC9ph7,posJB5ph7,Brevibacterium,1,pos3,2.381148478609014,1.560730105888972
posBC9ph5,posJBCph5,Penicillium,5,pos3,31.801242236024844,4.152652533609036
negBC9ph5,negJBCph5,Penicillium,5,neg10,4.299429178282225,2.1516294452108107
posBC9ph7,posJBCph7,Penicillium,5,pos3,4.0488462691039855,2.0915791492685303
posBC9ph5,posJB370ph5,Scopulariopsis,6,pos3,7.361111111111111,2.6893580680900575
posBC9ph5,posJB370ph5,Scopulariopsis,6,pos10,12.763940520446097,3.2397712290188374
posJB5ph5,pos135Eph5,Diutina,7,pos3,1285.359801488834,7.851941139854882
posJB5ph5,pos135Eph5,Diutina,7,pos10,231118.8811188811,13.043834674562007
posJB5ph5,pos135Eph5,Diutina,7,pos21,5471.698113207547,9.30049146897048
posJB5ph5,posBC10ph5,S. xylosus,3,pos3,13.548387096774194,3.299414687352213
posJB5ph5,posBC10ph5,S. xylosus,3,pos10,1012.8205128205128,7.613641485319512
posJB5ph5,posBC10ph5,S. xylosus,3,pos21,8532.186459489456,9.744748114048518
negJB5ph5,negBC9ph5,S. equorum,4,neg21,159.6244131455399,5.765970818448818
negJB5ph7,negJB7ph7,Brachybacterium,2,neg21,2.0318725099601593,1.4021049671465329
negJB5ph5,negJBCph5,Penicillium,5,neg10,230.30791788856305,6.132564367553561
negJB5ph5,negJBCph5,Penicillium,5,neg21,0,3
negJB5ph7,negJBCph7,Penicillium,5,neg10,102592.5925925926,12.231668192719138
negJB5ph7,negJBCph7,Penicillium,5,neg21,51.753378193555456,4.639636889677357
posJB5ph5,posJB370ph5,Scopulariopsis,6,pos10,2181.818181818182,8.381061017091657
posJB5ph5,posJB370ph5,Scopulariopsis,6,pos21,220,6.0867747269123065
negJB5ph7,negJB370ph7,Scopulariopsis,6,neg10,3.010869565217391,1.7953761096982435
negJB5ph7,negJB370ph7,Scopulariopsis,6,neg21,4.516129032258065,2.2008023986841034
posJB7ph5,pos135Eph5,Diutina,7,pos3,1800,8.1886891244442
posJB7ph5,pos135Eph5,Diutina,7,pos10,11333333.333333334,16.936405974472272
posJB7ph5,pos135Eph5,Diutina,7,pos21,16500000,17.312018119430753
posJB7ph7,pos135Eph7,Diutina,7,pos10,1.78345395749923,1.2716990902314826
posJB7ph7,pos135Eph7,Diutina,7,pos21,2.6083916083916083,1.6518809699438535
posJB7ph5,posBC10ph5,S. xylosus,3,pos10,62916.66666666667,11.742713559003107
posJB7ph5,posBC10ph5,S. xylosus,3,pos21,10363636.363636363,16.846960914120345
posJB7ph7,posBC10ph7,S. xylosus,3,pos21,1.618811881188119,1.174839654055994
posJB7ph7,posBC9ph7,S. equorum,4,pos21,1.4825174825174825,1.0868888249720505
negJB7ph7,negJBCph7,Penicillium,5,neg10,19.42857142857143,3.6598919172406843
posJB7ph5,posJB370ph5,Scopulariopsis,6,pos10,3633.333333333333,8.89105296010907
posJB7ph5,posJB370ph5,Scopulariopsis,6,pos21,800000,14.28551418721001
negJB7ph7,negJB370ph7,Scopulariopsis,6,neg10,1.4024390243902438,1.0313600616589422
negJBCph5,neg135Eph5,Diutina,7,neg3,34.1025641025641,4.222519755646099
negJBCph5,neg135Eph5,Diutina,7,neg10,2.25,1.5040773967762742
