species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
135E,alone,0,5,fungi,1931,5.86,705,5.86,3.285782273779395,2.848189116991399,0
135E,alone,0,7,fungi,1157,7.1,705,7.1,3.0633333589517497,2.848189116991399,0
135E,alone,3,5,fungi,12860000,6.638,11500000,6.58,7.109240968588203,7.060697840353612,3
135E,alone,3,7,fungi,2312000,7.192,2040000,7.08,6.363987829748491,6.309630167425898,3
135E,alone,10,5,fungi,13760000,6.93,12100000,6.81,7.1386184338994925,7.08278537031645,10
135E,alone,10,7,fungi,4620000,7.418,4900000,7.41,6.664641975556125,6.690196080028514,10
135E,alone,21,5,fungi,22120000,6.902,22400000,6.8,7.34478512263266,7.350248018334163,21
135E,alone,21,7,fungi,8920000,7.382,5300000,7.22,6.950364854376123,6.724275869600789,21
135E,BC10,0,5,fungi,1931,5.86,705,5.86,3.285782273779395,2.848189116991399,0
135E,BC10,0,7,fungi,1157,7.1,705,7.1,3.0633333589517497,2.848189116991399,0
135E,BC10,3,5,fungi,9760800,6.504,14200000,6.58,6.989485414116194,7.152288344383057,3
135E,BC10,3,7,fungi,3922000,7.39,3900000,7.34,6.593507589331765,6.5910646070264995,3
135E,BC10,10,5,fungi,23260000,6.898,25200000,6.79,7.36660971039243,7.401400540781544,10
135E,BC10,10,7,fungi,7740000,7.724,6000000,7.64,6.888740960682893,6.778151250383644,10
135E,BC10,21,5,fungi,37600000,7.157500000000001,37200000,7.175000000000001,7.575187844927661,7.570542939881897,21
135E,BC10,21,7,fungi,11980000,7.8,7500000,7.76,7.078456818053293,6.8750612633917,21
135E,BC9,0,5,fungi,1931,5.86,705,5.86,3.285782273779395,2.848189116991399,0
135E,BC9,0,7,fungi,1157,7.1,705,7.1,3.0633333589517497,2.848189116991399,0
135E,BC9,3,5,fungi,15460000,6.632,15000000,6.59,7.189209489582306,7.176091259055681,3
135E,BC9,3,7,fungi,2810000,7.254,2860000,7.24,6.44870631990508,6.456366033129043,3
135E,BC9,10,5,fungi,16220000,6.828,14800000,6.79,7.210050849875137,7.1702617153949575,10
135E,BC9,10,7,fungi,4580000,7.696,4000000,7.61,6.66086547800387,6.6020599913279625,10
135E,BC9,21,5,fungi,38440000,6.93,41000000,7.03,7.584783378996508,7.6127838567197355,21
135E,BC9,21,7,fungi,15240000,7.7139999999999995,9500000,7.59,7.1829849670035815,6.977723605288848,21
135E,JB5,0,5,fungi,1931,5.86,705,5.86,3.285782273779395,2.848189116991399,0
135E,JB5,0,7,fungi,1157,7.1,705,7.1,3.0633333589517497,2.848189116991399,0
135E,JB5,3,5,fungi,13320000,6.61,14200000,6.59,7.124504224834283,7.152288344383057,3
135E,JB5,3,7,fungi,3164000,7.218,2950000,7.12,6.500236474825639,6.469822015978163,3
135E,JB5,10,5,fungi,17700000,7.086,15300000,7.02,7.247973266361806,7.184691430817598,10
135E,JB5,10,7,fungi,10560000,7.69,10000000,7.62,7.023663918197793,7,10
